"ID","trial","first_attack","outcome","attack_position","attack_position2","species","age","treatment","place","illuminant","background","coord","experiment","video","date"
"42","28","Carapace",0,"lateral","lateral","bush_turkey","adult","B","banks_street_reserve","shade","mud_cloth","-27.437050,152.998649","definitive",NA,2024-05-14
"43","29","Carapace",0,"back","back","bush_turkey","adult","B","UQ","shade","mud_cloth","-27.496427,153.011575","definitive",NA,2024-05-21
"44","30","Carapace",0,"lateral","lateral","bush_turkey","adult","B","captain_burke_park","shade","mud_cloth","-27.464749,153.035661","definitive",NA,2024-05-22
"45","30","Carapace",0,"back","back","bush_turkey","adult","B","captain_burke_park","shade","mud_cloth","-27.464749,153.035661","definitive",NA,2024-05-22
"46","30","Carapace",0,"back","back","bush_turkey","adult","B","captain_burke_park","shade","mud_cloth","-27.464749,153.035661","definitive",NA,2024-05-22
"47","30","Carapace",0,"back","back","bush_turkey","adult","B","captain_burke_park","shade","mud_cloth","-27.464749,153.035661","definitive",NA,2024-05-22
"48","30","Carapace",0,"lateral","lateral","bush_turkey","adult","B","captain_burke_park","shade","mud_cloth","-27.464749,153.035661","definitive",NA,2024-05-22
"49","30","Carapace",0,"back","back","bush_turkey","adult","B","captain_burke_park","shade","mud_cloth","-27.464749,153.035661","definitive",NA,2024-05-22
"50","30","Carapace",0,"back","back","bush_turkey","adult","B","captain_burke_park","shade","mud_cloth","-27.464749,153.035661","definitive",NA,2024-05-22
"51","31","Carapace",0,"lateral","lateral","bush_turkey","adult","B","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.477662,152.979190","definitive","yes",2024-05-26
"52","32","Carapace",0,"back","back","bush_turkey","adult","B","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.477292,152.979743","definitive","yes",2024-05-26
"53","32","Claw",1,"lateral","lateral","bush_turkey","adult","B","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.477292,152.979743","definitive","yes",2024-05-26
"54","33","Carapace",0,"back","back","bush_turkey","adult","B","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.477258,152.980125","definitive","yes",2024-05-26
"55","33","Carapace",0,"lateral","lateral","bush_turkey","adult","B","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.477258,152.980125","definitive","yes",2024-05-26
"56","33","Carapace",0,"lateral","lateral","bush_turkey","adult","B","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.477258,152.980125","definitive","yes",2024-05-26
"57","33","Carapace",0,"front","front","bush_turkey","adult","B","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.477258,152.980125","definitive","yes",2024-05-26
"58","34","Claw",1,"back","back","bush_turkey","adult","C","captain_burke_park","shade","mud_cloth","-27.464930, 153.034856","definitive",NA,2024-05-31
"59","34","Carapace",0,"lateral","left","bush_turkey","adult","C","captain_burke_park","shade","mud_cloth","-27.464930, 153.034856","definitive",NA,2024-05-31
"60","34","Claw",1,"back","back","bush_turkey","adult","C","captain_burke_park","shade","mud_cloth","-27.464930, 153.034856","definitive",NA,2024-05-31
"61","34","Claw",1,"lateral","left","bush_turkey","adult","C","captain_burke_park","shade","mud_cloth","-27.464930, 153.034856","definitive",NA,2024-05-31
"62","34","Carapace",0,"lateral","left","bush_turkey","adult","A","captain_burke_park","shade","mud_cloth","-27.464930, 153.034856","definitive",NA,2024-05-31
