"wl","001_areia","001_gv_wy_cara_ti","001_gv_wy_caraspot_ti","001_gv_wy_dact_ti","001_gv_wy_ponta_ti","001_gv_wy_prop_ti","001_laranja","001_pano","001_preto","001_rosa","002_areia","002_laranja","002_pano","002_preto","002_rosa","003_areia","003_gv_wy_cara_ti","003_gv_wy_ponta_ti","003_gv_wy_prop_ti","003_laranja","003_pano","003_preto","003_rosa","004_gv_wy_cara_ti","004_gv_wy_dact_ti","004_gv_wy_ponta_ti","004_gv_wy_prop_ti"
317,3.87729996196172,23.3528483799521,14.6230290329187,18.3951572869856,19.5685696600478,6.77857150191387,1.23878765157895,4.66470598971292,10.2022421232536,13.7392097821053,3.7822461162201,4.13652164511962,6.06741441196172,2.83966634244019,4.79357507354067,3.44743328832536,9.21794587253588,11.0647481984211,15.0389940446411,4.66211172291866,7.15007148526316,6.05174832956938,4.90560216464115,18.8969577905263,21.7490394077512,13.155190405311,20.6053217574163
318,3.89298975880383,23.249559027177,14.5845000647847,18.3457487441627,19.5114047304306,6.74782845684211,1.23736163564593,4.7002590392823,10.1651792547847,13.6481854909569,3.79839124440191,4.12278342856459,6.09419496311005,2.82346333014354,4.7616783284689,3.45634760497608,8.98673743617225,10.9989340295694,14.6172881382775,4.6510957361244,7.19412685593301,6.03718147100478,4.86119744009569,18.4797951763636,21.6858117508134,12.8705853325837,20.4167064119139
319,3.88970344727273,23.2453634358373,14.5487384002871,18.3375572552153,19.5567481184211,6.70386851545454,1.23000202263158,4.74492087110048,10.1213722254067,13.5841489661244,3.8194316608134,4.1164942008134,6.11394415454545,2.82758691172249,4.72623411894737,3.46511092913876,8.82008347693781,10.9310186245933,14.2387751183732,4.63968734861244,7.21635085555024,6.03119735813397,4.82928582894737,18.2251708355502,21.6466265360287,12.6164049555502,20.2849304038278
320,3.89003606210526,23.2078777068899,14.5213555438277,18.3517745263636,19.5045612262679,6.68279445751196,1.22076095818182,4.78195061172249,10.0893151045455,13.4777030768421,3.82492973191388,4.10517217626794,6.12022771559809,2.81446428311005,4.6879275207177,3.47864847717703,8.5452927252153,10.8666750223445,13.6105692629186,4.61869804009569,7.23827894760766,6.00695474933014,4.77912020497608,17.6509192518182,21.5121843792344,12.1292822044497,19.9327989332057
321,3.90221160995192,23.1657405735096,14.5097198600481,18.3327260758654,19.4789351044712,6.61407991798077,1.21858663509615,4.79712690153846,10.0343104683654,13.3741842257692,3.83697108817308,4.07824100067308,6.13320513653846,2.81255816802885,4.63704657543269,3.49483360798077,8.21796387490385,10.8158060540865,12.8313177085577,4.58475008870192,7.258633389375,5.98882255567308,4.73755398471154,16.8787731973077,21.3592751642308,11.504940803125,19.4843881072115
322,3.90952226722488,23.1727630049761,14.5831440248325,18.4022128194258,19.4503640011005,6.63889000799043,1.22486288598086,4.82680057550239,10.0123436763158,13.2969124635407,3.85554578373206,4.0755895576555,6.16549031679426,2.81953238885167,4.60717380650718,3.52209726569378,7.95997471928229,10.78148904311,12.1840918997129,4.56925534598086,7.29072608454545,5.97921383047847,4.71377609444976,16.313539374689,21.3098700425837,11.0869723760765,19.1652540219617
323,3.91346768574163,23.1142288088038,14.6212800736842,18.3983091666507,19.4550018631579,6.64901143038278,1.21817417526316,4.83515921464115,9.96782152334928,13.2052579154067,3.87347014866029,4.04907670454545,6.17449949574163,2.8035345976555,4.5638304262201,3.53783269602871,7.76948156186603,10.7657957468421,11.6933693844019,4.54572829842105,7.32328758602871,5.9555646061244,4.67434259133971,15.8120566519139,21.2440830827751,10.696792968756,18.8866794504785
324,3.92620521028708,23.063707841866,14.6790808361244,18.4253833844976,19.421845771866,6.59198975244019,1.22438484875598,4.8633677007177,9.93300130205742,13.1368697989474,3.89405910277512,4.03971542641148,6.20513999822967,2.79578265507177,4.537600555311,3.54484914617225,7.60042451301435,10.6935296917703,11.3466112493301,4.53342533784689,7.35690578167464,5.94029025358852,4.64752044038277,15.4963691630144,21.2297058192823,10.4279204855981,18.7299939216268
325,3.93234368307692,23.0205817426923,14.7528435526923,18.4882701565385,19.4230293546154,6.59060645269231,1.22959515153846,4.89430195961538,9.90702499038462,13.0786521492308,3.91253148653846,4.032309895,6.22579369576923,2.78439038153846,4.51767887307692,3.568468685,7.51308816692308,10.6837707973077,11.190784385,4.52932208269231,7.39418259769231,5.93500581692308,4.62535264269231,15.4355856642308,21.2960717284615,10.3501964761538,18.7371400580769
326,3.93927183172249,22.9740608555024,14.7969652104306,18.5036007817703,19.4342825908134,6.56097272449761,1.2358683238756,4.91326801444976,9.88469727655502,13.0402360197129,3.92641245100479,4.01883143205742,6.23131622138756,2.78249643803828,4.50974945995215,3.58344571047847,7.47602897813397,10.630582216555,11.1278072327751,4.52019519196172,7.42420337162679,5.92921762645933,4.60944654880383,15.4263230967943,21.349204749378,10.2821593572727,18.7438819844976
