"wl","gv_q_Reflection_00002","orange_paint-4g_ba-5g_Reflection_001","orange_paint_kaisercraft_pure_Reflection_001"
300,4.87300130890476,34.5689580893333,6.21600131728572
301,4.815300088,34.7674651083333,6.472131465
302,4.80874208266667,34.9100289606667,6.49778698066667
303,4.79137289,35.113335705,6.52569414
304,4.83785633014354,35.3302406251196,6.58489019478468
305,4.94311035961905,35.508388468381,6.57918692247619
306,5.05709165842105,35.7110421844498,6.50574841727273
307,5.07153260619048,35.8117397467619,6.54904680352381
308,5.08758063,35.9279673704762,6.56612067466667
309,5.06303744062201,35.8983107892823,6.46552251397129
310,4.990688073,35.960343245,6.432639191
311,5.00529910761905,35.9992924378095,6.39695723161905
312,5.15268753181818,35.9794004381818,6.35241590272727
313,5.25791578899522,36.0898190796172,6.46243701143541
314,5.37954084942584,36.2152320588038,6.5132897637799
315,5.45916365526316,36.3640440031579,6.52134572947368
316,5.44373876142857,36.4893370671429,6.58133492857143
317,5.43631271416268,36.6739996369856,6.63862086956938
318,5.37351707741627,36.6530259788517,6.66340784296651
319,5.39350543794258,36.6234002657416,6.7912029444976
320,5.43579910794259,36.6118677093301,6.78393869952153
321,5.43424680211538,36.6501161187981,6.81844074519231
322,5.39210749937799,36.4994729822488,6.6589569037799
323,5.40033357114833,36.4848751102871,6.61495430913875
324,5.44126784966507,36.405185262488,6.62328922880383
325,5.40495090461538,36.4193124019231,6.57538848192308
326,5.46470947889952,36.4124966809091,6.6331586430622
327,5.49408446277512,36.3490146876077,6.58847508598086
328,5.47291883677885,36.4295213707212,6.56691315475962
329,5.43822284548077,36.4845783179808,6.68369581721154
330,5.44289798688995,36.5796322611005,6.62662032148325
331,5.52387108894737,36.6366227043541,6.66288207521531
332,5.6448114468421,36.6156420652153,6.76055539779905
333,5.75652188985577,36.5688471996154,6.67665484346154
334,5.80253886,36.7191633144231,6.74986135365385
335,5.79168316274038,36.6855515538942,6.81143510355769
336,5.78870566932692,36.7766824640385,6.73502367990385
337,5.91174157985577,36.7757270431731,6.75259785134615
338,6.04002689475961,36.6734696778365,6.76491126389423
339,6.06623190951923,36.7428047093269,6.77174057581731
340,6.06524251701923,36.8129094137019,6.76937614072115
341,6.0123796831401,36.8644841413043,6.79650587545894
342,5.96582212028846,37.0214707481731,6.84364827913462
343,5.98811045543269,37.0592144488462,6.80281954865385
344,6.06371210788462,37.1390506513462,6.79587109019231
345,6.10658087574879,37.1525610688889,6.79050517811594
346,6.15941710504808,37.3322371455289,6.85857172192308
347,6.12240480240385,37.3649157230288,6.86054529230769
348,6.10383727427885,37.4908063309135,6.99148022298077
349,6.05929516490385,37.6223844894231,7.00437670192308
350,6.03497973743961,37.7169503986957,7.1153253837198
351,6.11406454082126,37.6393825380676,7.11523318497585
352,6.15319309355769,37.7014006384615,7.11986023336538
353,6.11523742188406,37.6391518194203,7.08491338231884
354,6.20318620543269,37.4197683245192,7.00543683908654
355,6.15804796014493,37.2855058028985,6.91975001246377
356,6.13145454043478,37.1183633891304,6.92864886115942
357,6.23100011971015,37.0381793276812,6.92028934492754
358,6.24508844487923,36.9603621016908,6.89819510763285
359,6.26836557352657,36.8307509271498,6.8692309563285
360,6.27861243637681,36.7168821889855,6.81369720956522
361,6.31284675927536,36.6268280303865,6.7859267457971
362,6.29888174000001,36.421487236087,6.76716642086957
363,6.33060024144928,36.2903515106763,6.74586870603865
364,6.32285594398058,36.1755429269903,6.8032442681068
365,6.35805161338164,35.9871424058454,6.84220148724638
366,6.34462113492754,35.8610671397101,6.90255918743961
367,6.31884779563107,35.6576850237864,6.94304225660194
368,6.32619182908213,35.4948662570531,6.95531474193237
369,6.32438371398058,35.2358896761165,6.90781623305825
370,6.41352071956522,35.0546853122222,6.928751912657
371,6.44957168521739,34.7853532695652,6.78796812956522
372,6.50357727257282,34.4946924041748,6.70855043679612
373,6.4676604,34.24966796,6.68647931
374,6.47579743330097,34.0500849911165,6.63313300033981
375,6.53071338718447,33.8768158478641,6.62926512796116
376,6.56992338029126,33.729247262233,6.67594171228155
377,6.6300214931068,33.5620996071845,6.63593007854369
378,6.65335537407767,33.2907735985922,6.57204674252427
379,6.61725905635922,33.1127423565534,6.60752478252427
380,6.63504756038835,32.904752881699,6.57995446140777
381,6.66886295320388,32.7439637326214,6.5293772423301
382,6.6862265681068,32.6123474611165,6.57565925160194
383,6.72572959300971,32.3667915899029,6.50350179417476
384,6.76851049,32.0786988147573,6.45197883252427
385,6.79219623634146,31.8271232909756,6.48923450170732
386,6.78591461629268,31.5295323557561,6.45985638848781
387,6.85758165,31.36112676,6.41339549
388,6.8622033984466,31.0808865651456,6.42366252048544
389,6.83969758780488,30.9328621431707,6.4297377895122
390,6.881336024,30.722933684,6.386097326
391,6.87297909917476,30.5108851494175,6.39783805199029
392,6.8752504502439,30.298055402439,6.37151148658537
393,6.9312254524878,30.1061074533659,6.32416394356097
394,6.96228738292683,29.9003687462927,6.30168806307317
395,7.00435336990244,29.7149188576098,6.28037630097561
396,7.05055586512195,29.5347799769268,6.29556464078049
397,7.10223157917073,29.3428606502927,6.30342609321951
398,7.124676274,29.103201494,6.315851618
399,7.17532700858537,28.9243481336098,6.31858228473171
400,7.19868140287805,28.7018016072683,6.28550330536585
401,7.21208335585366,28.4988668746341,6.21809870487805
402,7.23235916931372,28.3073919131373,6.16544681558824
403,7.18226207307317,28.1415069528781,6.16623693658537
404,7.1970362102439,27.9689536758537,6.14064985634146
405,7.206453286,27.7815277273659,6.16956588370732
406,7.27501585122549,27.6409798460784,6.16629729710784
