"wl","black_carapace","black_paint","blue_carapace","blue_paint","cloth","mudflat","orange_manus","orange_paint","pink_dactylus","pink_paint"
300,22.1325541040476,10.0586779331429,17.7220043963333,8.98879446614286,4.3983596977619,3.60043091785714,14.9281417953809,5.50981274795238,39.8973898580476,7.74185723657142
301,20.6328010996667,10.165087323,16.702865186,8.865622063,4.25336541533333,3.5565135,14.4195334903333,5.08312707933334,35.6340798853333,7.058926392
302,19.386916572,10.259897604,16.6489623806667,8.74783413466666,4.27914019333333,3.542761696,14.0634752273333,4.88227134466666,32.766080808,6.597953638
303,18.02031353,10.328354845,16.411099225,8.6507547,4.313533655,3.568824075,13.667832595,4.73339873,30.46635444,6.28374544
304,16.8183598557417,10.2893835617703,16.1766748947368,8.56418909114833,4.31108982406698,3.53603030985646,13.4119522816268,4.57971703449761,28.5895871000957,5.87473603368421
305,15.710131924381,10.3051975650476,15.9545084512381,8.49109138428572,4.36756634619047,3.56248599628571,13.1768796328571,4.5376156312381,27.1986713093334,5.67732764085714
306,14.700666800957,10.3258098256938,15.664718071244,8.42366707330144,4.40254303708134,3.56303432602871,12.8518696205263,4.45977645320574,25.932609233445,5.51413016727273
307,13.8156397298095,10.3861495610476,15.4302752993333,8.35945950904762,4.45870910828571,3.613101912,12.6186658692381,4.45723936009524,25.1144456275238,5.39666424495238
308,13.045133820381,10.3685509385714,15.1033362288571,8.30926704580952,4.46556389095238,3.61247402571429,12.304100076381,4.40615977666667,24.4000835269524,5.27996777009524
309,12.4902098062201,10.4224782035885,15.0172644339234,8.26620923822967,4.49676990598086,3.63941630057416,12.1461200946411,4.37011647282297,23.8399883454545,5.20535392047847
310,11.86686787,10.37270989,14.912010076,8.222051652,4.499174785,3.649515086,11.900145382,4.309478426,23.256227359,5.121844871
311,11.3163141111429,10.3491677220952,14.8812987097143,8.18342720704762,4.51769512285714,3.66290944152381,11.7355801898095,4.25952737333333,22.8523872293333,5.04308011390476
312,10.8831141718182,10.3404987654545,14.8276647163636,8.15071237636364,4.54917889181818,3.68406355181818,11.6068188527273,4.24014413727273,22.5108090609091,5.00204086454546
313,10.449138947177,10.3248445111483,14.746190778756,8.11674014263158,4.58038097172249,3.71125146349282,11.4516701581818,4.2214649454067,22.240331237799,4.96422297349282
314,10.0961785683254,10.3033519598086,14.732723188134,8.08121177296651,4.60484963315789,3.73285539181818,11.3574253942584,4.20721031133971,22.1143701415311,4.92753772488038
315,9.84847414105263,10.2876980163158,14.6839172821053,8.04826294,4.62968385210526,3.75696993052632,11.2961725942105,4.19415004105263,21.9872031973684,4.88195930526316
316,9.51804728714285,10.2631223685714,14.67522278,8.01618227714286,4.64098805,3.77361173,11.1825706257143,4.17577006571428,21.8525607428571,4.84222801857143
317,9.21794587253588,10.2022421232536,14.6230290329187,7.99436252301435,4.66470598971292,3.7822461162201,11.0647481984211,4.13652164511962,21.7490394077512,4.79357507354067
318,8.98673743617225,10.1651792547847,14.5845000647847,7.96946797923445,4.7002590392823,3.79839124440191,10.9989340295694,4.12278342856459,21.6858117508134,4.7616783284689
319,8.82008347693781,10.1213722254067,14.5487384002871,7.95022618976077,4.74492087110048,3.8194316608134,10.9310186245933,4.1164942008134,21.6466265360287,4.72623411894737
320,8.5452927252153,10.0893151045455,14.5213555438277,7.92911983229665,4.78195061172249,3.82492973191388,10.8666750223445,4.10517217626794,21.5121843792344,4.6879275207177
321,8.21796387490385,10.0343104683654,14.5097198600481,7.91459847067308,4.79712690153846,3.83697108817308,10.8158060540865,4.07824100067308,21.3592751642308,4.63704657543269
322,7.95997471928229,10.0123436763158,14.5831440248325,7.89518798550239,4.82680057550239,3.85554578373206,10.78148904311,4.0755895576555,21.3098700425837,4.60717380650718
323,7.76948156186603,9.96782152334928,14.6212800736842,7.87693804047847,4.83515921464115,3.87347014866029,10.7657957468421,4.04907670454545,21.2440830827751,4.5638304262201
324,7.60042451301435,9.93300130205742,14.6790808361244,7.86252008569378,4.8633677007177,3.89405910277512,10.6935296917703,4.03971542641148,21.2297058192823,4.537600555311
325,7.51308816692308,9.90702499038462,14.7528435526923,7.84589699769231,4.89430195961538,3.91253148653846,10.6837707973077,4.032309895,21.2960717284615,4.51767887307692
326,7.47602897813397,9.88469727655502,14.7969652104306,7.83367993712919,4.91326801444976,3.92641245100479,10.630582216555,4.01883143205742,21.349204749378,4.50974945995215
327,7.41359762626794,9.85205214665072,14.8457801003349,7.82053028961723,4.93773673038278,3.93755053550239,10.5890969564115,4.00474395521531,21.4236698888995,4.50366618210526
328,7.36461555754808,9.83268532572115,14.9138550535096,7.80771112038462,4.96338635543269,3.94861268221154,10.5744133696154,3.99706912432692,21.5032941438462,4.49930296692308
329,7.30906615086539,9.80661288014423,14.9827172841346,7.79608381201923,4.99817449990385,3.97247741038462,10.5665857355288,3.98836092774039,21.5867480229327,4.49635120293269
330,7.30990178057416,9.78810085550239,15.0209758015789,7.78622990555024,5.03962699196172,4.00390624669856,10.5502074617225,3.99599567277512,21.6934786011962,4.5038346115311
331,7.26667792186603,9.77372670736842,15.1078818732536,7.77844738267943,5.07421416277512,4.03029157947368,10.5646568419617,3.98989208416268,21.7781974988038,4.49291109875598
332,7.22812666100478,9.74124423014354,15.1726252253589,7.76999984220096,5.10511124090909,4.05627509822967,10.5740382419617,3.98593483507177,21.8744270644019,4.49131271837321
333,7.23126379225962,9.72058673990385,15.2711633971635,7.76069438375,5.14502173264423,4.09429155716346,10.5905451101442,3.987167524375,21.9879096622596,4.50253624783654
