"wl","000_bkg_leptodactyla","000_bkg_maracoani","000_bkg_panema","000_bkg_rapax","000_bkg_thayeri"
300,5.29538095238095,2.90182591993386,3.60138364666192,5.41521871912792,6.07502093575361
301,5.278,2.91829058511245,3.59485910822316,5.01565397489914,5.81674438931053
302,5.229,2.92808452775512,3.60959763210423,4.97521087096481,5.82228066765492
303,5.18914285714286,2.88996241924382,3.6115065151484,4.87827903882424,5.74610438914933
304,5.08028571428572,2.88362921212658,3.65435252938904,4.74020473620437,5.70580839102673
305,4.97877272727273,2.93580840831065,3.64690548537782,4.72854088000885,5.56735287709994
306,4.90554545454545,2.96415110959737,3.6501433254295,4.73401226333087,5.63349892685965
307,4.90519047619048,2.94946724749098,3.65931687915325,4.8774416226628,5.75790738537898
308,4.88719047619048,2.8943876713746,3.66893425750627,4.59356523012029,5.76397788785715
309,4.86628571428571,2.91104394933443,3.71415509937566,4.50359863784458,5.64360201797659
310,4.878,2.96749402610853,3.68350808215036,4.73356159092755,5.80096941256304
311,4.88354545454545,3.02110838112336,3.67780686607874,4.82533023166804,5.84589008885132
312,4.86633333333333,3.03416573422092,3.6965391785197,5.00277773209896,6.079095148895
313,4.78366666666667,3.00081585531371,3.71054526674322,4.86944474998518,5.86710517592926
314,4.6917619047619,2.99434476401287,3.67849169864051,4.67976654020378,5.78633749064137
315,4.66871428571429,3.06127849425452,3.73790019166517,4.70433164182823,5.8330890946484
316,4.73747619047619,3.05153061202961,3.76450507870799,4.77762151398521,5.90816700989502
317,4.73757142857143,2.84128379004256,3.77490131285875,6.13891328078066,5.94394751073944
318,4.732,2.86020428785156,3.74215955672119,6.16048742503456,5.91458800487662
319,4.80095238095238,3.07545083322568,3.69950266114653,5.16208880739499,5.85272007251533
320,4.84136363636364,3.07700401760673,3.74900530839964,5.14004546083953,5.57937375474182
321,4.927,3.08394287291165,3.77545366933521,4.89090839369689,5.33740389531822
322,4.98580952380952,3.08983741754326,3.76711766178583,4.86517689065359,5.42494242412868
323,4.88695238095238,3.12251115542173,3.76629888609598,4.90378636965672,5.47272635238856
324,4.75033333333333,3.092270844749,3.75737730579579,4.70779018518283,5.32816929710072
325,4.68985714285714,3.06066808673093,3.77575838691455,4.50792402635826,5.15909371044462
326,4.67040909090909,3.06343311295509,3.76974110717002,4.62571819098831,5.1982806638589
327,4.688,3.12018068894427,3.78507739664131,4.6430806537401,5.44790006032995
328,4.72028571428571,3.1601016081926,3.81131134139334,4.64200230626707,5.46119895768358
329,4.74385714285714,3.17333879195004,3.81927719844309,4.74533779072828,5.55323623055742
330,4.74585714285714,3.19145360586906,3.83668147532765,4.83767090846452,5.64944074124079
331,4.72547619047619,3.18179878566802,3.82765094158483,4.73075403488148,5.68292570039738
332,4.705,3.21320625926815,3.84063369528168,4.94153839480217,5.7103689437527
333,4.66861904761905,3.21372495106141,3.87648680456552,4.75435249653192,5.64196482082576
334,4.6087619047619,3.19762581386272,3.84193230743962,4.83113404925261,5.70787049554362
335,4.52642857142857,3.14120788147062,3.80342769494706,4.52251766266931,5.38864190278268
336,4.42871428571429,3.1556703507354,3.81926719939457,4.40513159437388,5.30785467942257
337,4.41361904761905,3.22612181843212,3.90681839302536,4.91464780011476,5.46148531583432
